text,label
matriks bisnis: selasa 29 april 2014,0
zendaya keluar dari film aaliyah lifetime di tengah kontroversi,1
walikota as akan memberikan suara mengenai perbaikan iklim,2
dolar menguat karena prospek fed yang hawkish dan data as yang kuat,0
lalat merespon seperti jet tempur saat menyerang,2
ethan hawke dan patricia arquette terkejut dengan penuaan film,1
fast and furious 7 akan menggunakan tubuh ganda untuk adegan paul walker,1
kemungkinan panel depan iphone 6 melenturkan otot safir yang dikabarkan,2
perangkat google dengan nama kode flounder ditemukan – apakah itu nexus 8?,2
blackberry tingkatkan pertarungan dengan ponsel indonesia,2
"street fight daily: zillow membeli trulia seharga $3,5 miliar, yelp menambahkan video ke ulasan",0
new york times membantah adanya seksisme dalam pertikaian,1
deutsche bank menyiapkan penjualan saham bernilai miliaran euro - sumber,0
beli google glass pada tanggal 15 april,2
samsung akan menantang oculus rift,2
mahkamah agung mempersempit aturan pembatasan gas rumah kaca,0
sektor perbankan global mendapat pemberitahuan setelah hukuman bnp paribas,0
masalah penipuan pajak semakin meningkat,0
will smith dan jada pinkett smith 'sedang diselidiki oleh pelindung anak ...,1
kita mungkin tahu siapa penjahat 'star wars: episode vii',1
pendiri google selamat dari kiamat robot,2
"inflasi harga konsumen inggris, april 2014",0
pasukan bergerak 'untuk membantu ukraina memilih',0
gm menggugat saklar pengapian di alabama,2
ide hadiah hari ibu untuk pencinta makanan,1
nokia lumia 1020 vs nokia lumia 1520 – perbandingan harga dan spesifikasi,2
tiket american airlines tidak lagi dijual di orbitz,0
dow anjlok karena berbagai kekhawatiran yang menyusahkan investor - ktvn channel 2 - reno tahoe ...,0
meningkatkan masa pakai baterai macbook pada tahun 2014,2
lupita nyong'o dinobatkan sebagai orang tercantik di dunia oleh people,1
samsung mengungkapkan empat smartphone baru,2
siapa yang menjadi kaya dari ipo gopro?,0
microsoft menolak android karena ponsel nokia x dimatikan,2
aaa: 44 juta orang amerika diperkirakan akan melakukan perjalanan untuk merayakan thanksgiving,0
