No,News Title,Category
42932,Movie review: Raunchy comedy 'Neighbors' is nearly funny,Entertainment
39585,"2014 Mercedes-Benz B-Class Electric Drive Gets Official Pricing, Other Release  ...",Technology
17721,'I Am Alive And Well': Seinfeld Star Wayne Knight Shoots Down Twitter Hoax  ...,Entertainment
30712,Titanfall PC's 48GB install size explained by Respawn,Technology
49189,Look Out Ibiza: Kendall Jenner & Kim Kardashian Jet Into Party Island,Entertainment
59592,Housing Prices Jump Though Top of Market Cools Off,Economy
12193,Chris Hemsworth's wife Elsa shares first picture of twin baby boys!,Entertainment
20835,Kospi up as Samsung reveals Q2 damage,Economy
5509,Turkey's Manufacturing Activity Contracts Further In July,Economy
42522,Leaked Document: Scientists Ordered to Scrap Plan to Protect Wolverines,Technology
1359,'Maleficent' Star Angelina Jolie Looks Back on Her Past Films,Entertainment
14985,Godzilla demolishes UK box office competition,Entertainment
55794,"'The Bachelorette' podcast: Overnight dates, edits, and 'Bachelor' talk with Jessa",Entertainment
51429,GM shifting Cadillac SUV production to U.S. from Mexico,Technology
60992,Scientists: Scroll that mentions Jesus' wife genuine,Entertainment
28582,Source: Latest News,Entertainment
40232,French president Hollande visits Niger on tour,Economy
88,Led Zeppelin Sued Over 'Stairway To Heaven' Guitar Line,Entertainment
29296,German Economy Strengthens as Industry Survey Beats Estimate,Economy
63589,Samsung Galaxy Note 4 May Continue Biometrics Craze With Retina Scanner,Technology
60447,Outkast reunite at Coachella festival,Entertainment
61106,"CNOOC rig part of land grab, U.S. says",Economy
51371,"European Markets Fall, AstraZeneca Slumps",Economy
64075,American Apparel Signs Support Agreement with Standard General,Economy
47013,Day Around The Bay: Why Mozilla's CEO Needs To Apologize,Technology
33399,"India, China Must be Responsible to Combat Climate Change US",Technology
65428,X-Men Days of Future Past Cast and Movie News: Director Bryan Singer  ...,Entertainment
6392,Vending machine selling cannabis for consumers debuts in Colorado,Economy
10652,Apple close to buying headphone maker Beats Electronics,Economy
57773,Samsung Wants Everyone To Know Its New Galaxy Phone Didn't Copy Apple,Technology
59088,Lifting Net neutrality rules can't promise long-term carrier climate,Technology
22863,Provopoulos Repeats Greek Recovery Coming,Economy
42195,Yahoo! NewFront: The average Tumblr sponsored post is reblogged 10000 times,Entertainment
17508,HTC M8 Ace shows off its front and rear in new images,Technology
16251,"Watch 'Secrets', The New Game of Thrones Season 4 Trailer",Entertainment
6982,iPhone 6: new video suggests previous leaks 'misleading',Technology
22010,'I Don't Understand The Backlash Against Twilight': Robert Pattinson Opens Up  ...,Entertainment
38721,RPT-BofA pays AIG $650 million to settle mortgage disputes,Economy
44607,"Priceline Buys OpenTable, Millions of Hungry Travelers for $2.6 Billion",Economy
14889,Is Tom 'Cruise-ing' along with new romance?,Entertainment
6240,General Mills scraps plan to strip consumers of right to sue,Economy
38913,Samsung Electronics posts 19.6% fall in Q2 net profit,Economy
23707,Report: exchange brings competition to state's insurance market,Economy
64282,Netflix cracks cable market in deals with 3 providers,Entertainment
63010,Ex-Archbishop: Western lifestyles 'cause climate change',Technology
19160,From Memphis to 'Earth to Echo': Meet Screenwriter Henry Gayden (and his ham  ...,Entertainment
16139,Gravitational waves from just after Big Bang show how universe grew,Technology
30485,Samsung's Latest Flagship Now Available for Just $99 - Verizon and Sprint Only,Technology
7626,BREAKING: Andi Dorfman Picks Josh Murray in The Bachelorette 2014 Finale!,Entertainment
38284,Discovery Cancels 'Everest Jump Live' in Light of Deadly Avalanche,Entertainment
48725,Katharine the shark tweets from the ocean,Technology
29480,Apple agrees to conditional $450 mln e-books antitrust accord,Technology
22563,"Puff Daddy in, P. Diddy out in latest Sean Combs name game",Entertainment
65186,What's in a settlement?,Economy
44283,Destiny Collector's Editions Info,Technology
50208,Report: Google wants to get into the health data game with 'Google Fit',Technology
40331,"Microsoft Warns of New IE Flaw, Will (Probably) Not Fix on Windows XP",Technology
10089,Tech heavyweights offer millions to help with Heartbleed crisis,Technology
13907,Kim Kardashian Returns to Recording Booth,Entertainment
11191,Kaley Cuoco on Dating Superman: The Recognition Was Crazy!,Entertainment
13797,"Big, flat, round, black – despite the hucksters, vinyl has its day",Entertainment
1990,2014 Loses Another Game. Batman: Arkham Knight Delayed to 2015,Entertainment
25090,Veteran Actor And 'Homeland' Star James Rebhorn Dies Aged 65,Entertainment
56211,Is Tivo's new Roamio OTA DVR a cord-cutter's dream?,Technology
59546,"iPhone 6 sapphire display leaks, and it's indestructible",Technology
12238,WATCH: Pippa Middleton's First-Ever TV Interview On 'Today',Entertainment
49863,Ideas should be second nature,Technology
34709,Jay Z PHYSICALLY ATTACKED by Beyonce's Sister Solange [VIDEO],Entertainment
40122,"Comic Con Cosplay 2014: The Good, The Weird And The Ugly",Entertainment
32298,Movie Review: Jason Bateman is ruthlessly funny in 'Bad Words',Entertainment
42797,Google Shopping Express expands same-day delivery service to New York and  ...,Economy
8816,Where Do You Go for Authentic Irish Cuisine in Boston?,Entertainment
11340,Bachelorette 2014 Spoilers: Week 3 Recap – Eric Hill Drama?,Entertainment
44484,Adam Levine - Blake Shelton Tweets Adam Levine's Phone Number During Live  ...,Entertainment
48368,AUD to USD surges back above 94 cents on Fed minutes & could rise higher,Economy
52418,"New Banksy Mural ""Mobile Lovers"" Appears in Britain",Entertainment
24193,Will Smith pegged as star in movie about NFL concussions,Entertainment
41913,Zions Fails to Clear Stress Test,Economy
31605,"HTC One 2 Price Announced for Verizon, AT&T and Google Play Edition",Technology
59175,"Movies in Theaters This Wednesday, July 2-4, 2014: Tammy, Deliver Us From  ...",Entertainment
9786,"Apple Inc updates MacBook Pro laptops, cuts price of older model",Technology
9613,"GM, Hyundai models win most JD Power quality awards",Technology
56449,Wall St gains on Yellen comments and Yahoo,Economy
52791,Extant: Sci-Fi Alien Conspiracy Meets Family Drama in CBS' Summer Series,Entertainment
14034,'Heartbeat' brings heartbreak for Ireland at Eurovision,Entertainment
27519,GM Names New PR Chief In Midst Of Safety Crisis,Economy
45693,Yahoo! Inc. (YHOO) to Return Cash from Alibaba IPO to Shareholders,Technology
23150,"Argentina to urge Citibank, BONY to pay bondholders",Economy
27204,Barclays plans to axe 19000 jobs as it returns to roots,Economy
13967,UPDATE 2-Chicago selected for George Lucas' 'storytelling' museum,Entertainment
48715,"In A Different Form, Large Amount Of Water Could Be Buried Deep Below The  ...",Technology
7663,NASA Captures Incredible Images of Asteroid,Technology
48107,Forbes: Apple made a 'massive mistake' with iOS 8,Technology
35664,I DON'T Wanna Hold Your Hand! Paul McCartney Infection Leads To Hospital Stay,Entertainment
25296,"Cost of fighting warming 'modest,' says UN panel - WFSB 3 Connecticut",Technology
39053,Josh Murray & Andi Dorfman Are Engaged! 8 Things to Know About Him,Entertainment
45908,"Gold prices flat to weaker in Asia, eye Fed minutes",Economy
57621,The 2014 ESPYs - Drake hosts ESPN's annual sports awards,Entertainment
4968,NTSB: Asiana plane crash in San Francisco was due to pilot mismanagement,Economy
50410,Meteor Shower tonight could be super-dramatic says NASA,Technology
7705,Jennifer Lawrence & Nicholas Hoult Agree To Ignore Each Other When They're  ...,Entertainment
44608,Harrison Ford injures ankle on 'Star Wars' film set,Entertainment
23830,Gary Oldman Defends Mel Gibson's anti-Semitic Remarks,Entertainment
10649,Ex-NYT editor: No idea what I'll do next,Entertainment
23280,"Mitsubishi, Siemens file joint Alstom bids",Economy
54526,Mars 'flying saucer' splashes back down after test,Entertainment
17541,CONSUMER ALERT: Microsoft warns of Internet Explorer security gap,Technology
44937,IPCC graph of the day: how we doubled fossil CO2 emissions in 40 years time,Technology
40017,Crude oil leak blamed for China water contamination that hits 2.4 million people,Economy
56030,Weekend Movies: Get On Out to Theaters,Entertainment
11033,Apartment living: Synced,Entertainment
10635,Elsa Pataky & Chris Hemsworth Reveal Twins' Names & First Picture!,Entertainment
9800,Summer Surprise: 'Jupiter Ascending' moves to February 2015,Entertainment
61121,Gaga's 'G.U.Y.' Video Is Long and Credit-Filled,Entertainment
18946,US Attorney investigating General Motors recall,Economy
22517,2015 Ram ProMaster City Unveiled at Chrysler Proving Grounds,Technology
2270,Lookalikes Will Ferrell and Red Hot Chili Peppers' Chad Smith Engage in Drum  ...,Entertainment
45580,Movie review: Captain America: The Winter Soldier,Entertainment
43114,Chinese premier on plane search: 'We will not give up',Economy
37775,"Libya Rebels Clash With Military Near Oil Port, Lana Says",Economy
37401,GM keeps recalling vehicles,Technology
2415,"eBay Gets Hacked, Encrypted Passwords Accessed",Technology
46611,You've paid your taxes,Economy
44770,Jay-Z allegedly attacked by Beyonce's sister Solange in NYC hotel elevator: report,Entertainment
57542,PRESS DIGEST-Sunday British Business - May 18,Economy
60632,Biggest MTV VMA Back Stage Shockers,Entertainment
10883,Study: Thinner font would save U.S. government big bucks,Technology
59511,Jeff Bezos Says Amazon Is Seriously Serious About Drone Deliveries,Economy
49052,Key Southern California interstate closed in both directions after steel beams fall  ...,Economy
7682,Visionary or 'nuts'? Facebook CEO Zuckerberg's multi-billion deal raises  ...,Technology
30062,India link emerges in $8.9-bn BNP Paribas settlement in US,Economy
19313,Not another Mr & Mrs Smith for the new movie of 'Brangelina',Entertainment
7043,Scientists create the first life form with 'alien' DNA,Technology
2335,Beyoncé is named one of TIME's 100 Most Influential people,Entertainment
47683,No one can transfer people's rule to elites: Turkish PM,Economy
41772,Church Events,Entertainment
60711,Why Koninklijke Philips (PHG) Stock Is Higher This Morning,Economy
45431,"Rob Kardashian Depressed? Before Kim's Wedding, Weight Gain And  ...",Entertainment
37702,Follow along with the LG G3 launch event live stream here,Technology
20393,Ford Said to Decide on Fields as CEO as Mulally Plans Departure,Economy
12706,Zendaya's Reason For Leaving Aaliyah Biopic,Entertainment
16404,North Korea warns of 'merciless response' to film,Entertainment
17202,Should Pro-Life Christians Boycott the Ice Bucket Challenge?,Entertainment
44989,TPL Clip How to Eat Pot: Less Is More TPL Clip,Entertainment
48204,Angry Birds Transformers to set Autobirds and Deceptihogs loose,Entertainment
4377,'Jem and the Holograms' Brings the Band Together,Entertainment
856,Oculus Rift withdrawn from sale in China because of 'extreme reselling',Technology
64243,Samsung unveils 4.5-inch Galaxy S5 Mini,Technology
46015,Josh Kaufman wins 'The Voice' season 6 for Team Usher,Entertainment
54832,'CA: Winter Soldier' a salute above the average sequel,Entertainment
20235,Samsung teases a site dedicated to its design philosophy and latest concepts  ...,Technology
8996,Cisco to invest over $1B to expand its cloud computing operations,Technology
64748,'Candy Crush' maker King sees share value tumble 15 percent in market debut,Economy
48645,Brent Oil Erases Iraqi Rally in London as Futures Retreat,Economy
32295,More Disclosure in Airline Fees,Economy
32197,Teen made to remove makeup to get license photo at DMV,Technology
18381,Consumer sentiment rises in June,Economy
57500,Watch a big-bang physicist learn his theory was right,Technology
27757,SAC's Xu Plans China Hedge Fund,Economy
901,Microsoft ends Windows XP support,Technology
27269,"ConAgra Foods Downgraded to ""Hold"" at KeyCorp (CAG)",Economy
1656,"Robin Thicke Gets Slammed About Misogyny, Estranged Wife Paula Patton  ...",Entertainment
33989,Google feathers its Nest with $555m acquisition of Dropcam,Technology
11840,Japan imposes visa bans on 23 people in new sanctions on Russia,Economy
39784,Nick Viall 'very sorry' if 'Bachelorette' Andi Dorfman feels humiliated after sex in  ...,Entertainment
6099,American Idol eliminates another contestant as the Top 9 become 8,Entertainment
61711,Android Reigns in US Smartphone Activations,Technology
19707,Intuit to Acquire Bill-Pay App Check for $360 Million,Economy
50181,"Play Store Gets ""Made In Australia"" Category To Show Off Locally Made Apps",Technology
38470,"Cynthia McFadden Leaves Nightline for NBC, Juju Chang Promoted",Entertainment
23619,Powdered Alcohol Product Creates a Buzz,Entertainment
14212,"Star Wars adds two new actors, presumably to replace Harrison Ford's leg",Entertainment
6793,"Climate change also means opportunities, scientists say at Yokohama meeting",Technology
13521,Beyoncé & Jay Z Officially Announce Their On The Run Tour! See All The  ...,Entertainment
53124,Respawn Reveals Titanfall's First DLC,Technology
64862,All You Need to Know About Surface Pro 3 as Compared to iPad Air,Technology
63201,Woman Claims French Montana Tried to Hook Up With Her Behind Khloé  ...,Entertainment
35132,"Internet TV case: Justices skeptical, concerned",Entertainment
28755,"Medicare Finances Improve As Healthcare Inflation Slows, Trustees Say",Economy
20913,Story removal: Cheaper to say yes?,Technology
39151,"Jessie J, Ariana Grande And Nicki Minaj Premiere ""Bang Bang""",Entertainment
