No,News Title,Category,News Title Indonesia
1400,Climate on the front burner,Technology,Iklim di pembakar depan
34988,Target earnings meet forecast but lowers outlook,Economy,Target pendapatan memenuhi perkiraan tetapi menurunkan perkiraan
1998,MIchael Strahan's 'Good Morning America' side job confirmed with visit,Entertainment,Pekerjaan sampingan 'Good Morning America' karya MIchael Strahan dikonfirmasi dengan kunjungan
51084,RPT-UPDATE 1-Microsoft's CEO may unveil Office for iPad on March 27 -source,Technology,RPT-UPDATE 1-CEO Microsoft mungkin akan memperkenalkan Office untuk iPad pada 27 Maret -sumber
5201,The latest wackiness at American Apparel,Economy,Keanehan terbaru di American Apparel
27930,Facebook is trying to make its News Feed less spammy,Technology,Facebook sedang mencoba membuat News Feed-nya tidak terlalu berisi spam
28383,Home Depot hikes full-year guidance despite earnings miss,Economy,Home Depot menaikkan pedoman setahun penuh meskipun pendapatannya meleset
29904,Columbia ministers will speak the '7 Last Words' of Jesus,Entertainment,Para pendeta Kolombia akan menyampaikan '7 Kata-kata Terakhir' Yesus
33461,Video: Journey's Ex-Singer Steve Perry Performs Live for the First Time in 20 Years,Entertainment,Video: Mantan Penyanyi Journey Steve Perry Tampil Langsung untuk Pertama Kalinya dalam 20 Tahun
26574,Verizon Wireless Announces The Release Of The Samsung Galaxy S5,Technology,Verizon Wireless Mengumumkan Peluncuran Samsung Galaxy S5
54481,New TV series 'Fargo' is chip off the old Coen brothers' block,Entertainment,Serial TV baru 'Fargo' merupakan bagian dari blok lama Coen bersaudara
37146,Andrew Garfield 'loves being naked',Entertainment,Andrew Garfield 'suka telanjang'
8215,Asus reportedly set to launch Android Wear-based smartwatch,Technology,Asus dikabarkan akan meluncurkan jam tangan pintar berbasis Android Wear
50160,'Jurassic World' First Set Photos are Here From the Upcoming 2015 Blockbuster,Entertainment,"""Foto Set Pertama 'Jurassic World' Di Sini Dari Blockbuster 2015 Mendatang""."
63296,Sony PlayStation Tallies More Sales Than Microsoft Xbox One Game Console,Technology,Sony PlayStation Menghitung Lebih Banyak Penjualan Dibandingkan Konsol Game Microsoft Xbox One
11080,Did Miley ruin cancer patient's special moment?,Entertainment,Apakah Miley merusak momen spesial pasien kanker?
49917,S&P 500 Gains to Trim Weekly Loss Amid Russell Revisions,Economy,S&P 500 Menguat untuk Memangkas Kerugian Mingguan Di Tengah Revisi Russell
534,'Star Wars Episode 7' Cast Update: Lupita Nyong'o To Play The Daughter Of Obi  ...,Entertainment,Pembaruan Pemeran 'Star Wars Episode 7': Lupita Nyong'o Akan Memainkan Putri Obi ...
15093,New Michael Jackson album 'Xscape' to be released in May,Entertainment,Album baru Michael Jackson 'Xscape' akan dirilis pada bulan Mei
11026,Heartbleed bug could affect HealthCare.gov,Technology,Bug Heartbleed dapat memengaruhi HealthCare.gov
54723,Rare Footage Shows FDR Walking at Baseball Game,Entertainment,Rekaman Langka Menunjukkan FDR Berjalan di Pertandingan Bisbol
18029,How To Upgrade Your Samsung Galaxy Note 10.1 2014 To Stock Android 4.4  ...,Technology,Cara Upgrade Samsung Galaxy Note 10.1 2014 Ke Stock Android 4.4 ...
31406,"Fitch Affirms Rocklin Redevelopment Agency, CA's TABs at 'BBB+'; Outlook  ...",Economy,"Fitch Mengafirmasi Rocklin Redevelopment Agency, TAB CA di 'BBB+'; Pandangan ..."
65085,"Google trying to trademark 'Glass', encountering opposition",Technology,"Google mencoba merek dagang 'Kaca', menghadapi tentangan"
26921,Miley Cyrus Denies She Was Hospitalized Due to Drug Overdose,Entertainment,Miley Cyrus Bantah Dirawat Rumah Sakit Karena Overdosis Narkoba
4302,"'For us it's five shows or none at all,' says Garth Brooks",Entertainment,"'Bagi kami, ini hanya lima pertunjukan atau tidak sama sekali,' kata Garth Brooks"
38500,"U.S. Conference of Mayors in Dallas boosting other Texas cities, too",Technology,Konferensi Wali Kota AS di Dallas juga mendorong peningkatan kota-kota Texas lainnya
9201,'Amazing Spider-Man 2': Five box-office bets for the web-slinger,Entertainment,"""Amazing Spider-Man 2"": Lima taruhan box-office untuk web-slinger"
9024,Billboard Music Awards: Jennifer Lopez Becomes First Woman To Receive Icon  ...,Entertainment,Billboard Music Awards: Jennifer Lopez Menjadi Wanita Pertama yang Menerima Ikon ...
24242,A reverse mortgage turns equity into cash,Economy,Hipotek terbalik mengubah ekuitas menjadi uang tunai
65286,Kim Kardashian Shows Some Leg at Dinner with Her Family!,Entertainment,Kim Kardashian Tunjukkan Kakinya Saat Makan Malam Bersama Keluarganya!
29873,Creationist Group Disputes New Evidence in Big Bang Theory,Technology,Kelompok Penciptaan Membantah Bukti Baru dalam Teori Big Bang
57580,Diane Sawyer Stepping Down at ABC's World News,Entertainment,Diane Sawyer Mengundurkan Diri di ABC's World News
62781,Turkey fetes success of director Ceylan,Entertainment,Turki merayakan kesuksesan sutradara Ceylan
61361,Character actor James Rebhorn dies at 65,Entertainment,Aktor karakter James Rebhorn meninggal pada usia 65 tahun
33708,Tom Perrotta Brings 'The Leftovers' To HBO,Entertainment,"""Tom Perrotta Membawakan 'The Leftovers' Ke HBO""."
50405,You Can Buy Google Glass on Tuesday - if You Still Want It,Technology,Anda Dapat Membeli Google Glass pada hari Selasa - jika Anda Masih Menginginkannya
53987,Expedition 40 Completes Week of Medical Research Aboard the International  ...,Technology,Ekspedisi 40 Menyelesaikan Pekan Penelitian Medis di Kapal Internasional ...
4015,'Captain America' too tough for 'Rio',Entertainment,'Captain America' terlalu tangguh untuk 'Rio'
47715,Procter & Gamble: Why Its Beat Doesn't Matter,Economy,Procter & Gamble: Mengapa Ketukannya Tidak Penting
11170,"Rick Ross drops music video for Young Jeezy collab ""War Ready""",Entertainment,"Rick Ross merilis video musik untuk kolaborasi Young Jeezy ""War Ready"""
25457,Christina Ricci is pregnant – and showing!,Entertainment,Christina Ricci sedang hamil – dan terlihat!
12417,Ford mpg claims,Technology,Klaim Ford mpg
56741,Justin Bieber will not be charged with felony in alleged cellphone tussle,Entertainment,Justin Bieber tidak akan didakwa melakukan kejahatan dalam dugaan pergumulan ponsel
994,Video: Charlie Sheen 'hammered' at Taco Bell,Entertainment,Video: Charlie Sheen 'memukul' di Taco Bell
8586,Tesla Model X deliveries delayed until next year,Economy,Pengiriman Tesla Model X tertunda hingga tahun depan
