No,News Title,Category,News Title Indonesia
8664,China leader says debt defaults 'hardly avoidable',Economy,Pemimpin Tiongkok mengatakan gagal bayar utang 'sulit dihindari'
47838,Fans slam Kanye West over rape remark,Entertainment,Fans mengecam Kanye West atas komentar pemerkosaan
61316,Ham radio enthusiasts hold Field Day this weekend,Technology,Penggemar radio Ham mengadakan Field Day akhir pekan ini
19622,JC Penney beats expectations as sales improve,Economy,JC Penney melampaui ekspektasi seiring peningkatan penjualan
34114,Angie's List new sponsor of GP of Indy,Entertainment,Daftar Angie sponsor baru GP Indy
21701,"Johnny Depp Confirms Amber Heard Engagement: My ""Chick's Ring"" Is a ""Dead  ...",Entertainment,"Johnny Depp Mengonfirmasi Pertunangan Amber Heard: ""Cincin Cewek"" Saya Adalah ""Mati ..."
51033,China manufacturing improves in May: survey,Economy,Manufaktur Tiongkok membaik di bulan Mei: survei
35758,EXCLUSIVE CLIP: Shockers Cameron Diaz won't tell mom in Sex Tape,Entertainment,KLIP EKSKLUSIF: Yang mengejutkan Cameron Diaz tidak akan memberi tahu ibu di Sex Tape
3586,Fleetwood Mac to launch North American tour with both Christine and John McVie,Entertainment,Fleetwood Mac akan meluncurkan tur Amerika Utara bersama Christine dan John McVie
57598,Springsteen among those to fete rock hall of fame class,Entertainment,Springsteen di antara mereka yang menghadiri kelas hall of fame rock
59402,Chief accepts ALS ice bucket challenge,Entertainment,Chief menerima tantangan ember es ALS
38202,Samsung Releasing New Line of Tablets to Rival Apple's iPad Air and iPad Mini,Technology,Samsung Merilis Jajaran Tablet Baru untuk Menyaingi iPad Air dan iPad Mini dari Apple
38375,"Nokia unveils new CEO, starts new era with profit beat",Economy,"Nokia memperkenalkan CEO baru, memulai era baru dengan keuntungan besar"
45793,Cosmic inflation finding first predicted by JHU cosmologist,Technology,Temuan inflasi kosmik pertama kali diprediksi oleh kosmolog JHU
39693,Longview students showcase diversity on Cinco de Mayo,Entertainment,Siswa Longview menampilkan keberagaman di Cinco de Mayo
11083,"SpaceX Will Protest ""Monopoly"" on U.S. Government Military Satellite Launches",Technology,"SpaceX Akan Memprotes ""Monopoli"" atas Peluncuran Satelit Militer Pemerintah AS"
27615,"MTV Movie Awards will be fiery, naked, apocalyptic display",Entertainment,"MTV Movie Awards akan menampilkan pertunjukan yang berapi-api, telanjang, dan apokaliptik"
7715,Facebook Inc. (FB) 1 Billion Mobile Users Brought 59% Of Q1 2014 Revenue!,Economy,Facebook Inc. (FB) 1 Miliar Pengguna Seluler Menghasilkan 59% Pendapatan Q1 2014!
