text,label
film pendek dawn of the planet of the apes mengisi jeda 10 tahun sejak rise,1
samsung galaxy core mini 4g g3568v siap menggebrak pasar china,2
sekuel godzilla: sedang digarap!,1
google akan bermitra dengan luxottica untuk gaya kaca baru,2
pembaruan yang diperbaiki 1-pengadilan memerintahkan rusia untuk membayar ganti rugi lebih dari $50 miliar ...,0
bank dunia memangkas perkiraan pertumbuhan tiongkok dan asia timur tahun 2014 | bangkok post: bisnis,0
"cameron diaz memperlihatkan semuanya dalam ""sex tape""",1
"bitcoin dikenakan pajak seperti properti di as, bukan mata uang",0
craig zadan dan neil meron dipilih untuk the music man nbc?,1
"nominasi teratas drake, nicki minaj, robin thicke akan tampil di bet awards ...",1
"di berbagai komunitas yang berbeda, orang-orang yahudi berkumpul untuk menceritakan kembali kisah paskah",1
inflasi akhirnya tiba – setidaknya di tingkat grosir,0
dua pemain muda tak dikenal di star wars episode vii setelah audisi terbuka,1
reli jd.com tiongkok di debut nasdaq,0
"meryl davis melaju ke final 'dancing', akan bersatu kembali dengan charlie white",1
konsep iphone 6 menjajaki kemungkinan layar safir dan pelat belakang,2
"box office seluruh dunia: 'noah' di atas, 'frozen' mencetak rekor baru",1
birokrasi lebih lanjut: obama memberlakukan peraturan gas rumah kaca yang baru,0
pertunjukan dj swedia di boston menyebabkan puluhan orang dilarikan ke rumah sakit,1
"keselarasan matahari, mars, dan bumi memicu spekulasi 'akhir dunia'",2
youtube akan membeli twitch?,2
telstra merupakan mitra pertama dalam tawaran cisco senilai $us1 miliar untuk menjadikan cloud lebih ramah perusahaan,2
"penyelidik: kecepatan hingga 94 mph, bukan masalah mekanis, yang menyebabkan aktor ...",1
kim kardashian tunjukkan belahan dada di bonaroo sementara kanye west dicemooh ...,1
investor berhati-hati menjelang anggaran,0
"penjualan xbox one microsoft (msft) kuat, tapi tidak cukup untuk mengalahkan sony corp ...",2
​uea menginginkan badan antariksa & penyelidikan ke mars pada tahun 2021,2
"selebriti hamil - drew barrymore melahirkan bayi perempuan, frankie ...",1
gm menarik kembali 512000 chevy camaro,2
"laba apple masih meningkat, namun tekanan semakin besar",2
pemilik tesla baru menabrakkannya ke tanda dealer,2
indeks s&p dow jones memperluas kelompok indeks faktornya dengan meluncurkan ...,0
bintang 'merancang wanita' meninggal setelah berjuang melawan kanker,1
"tonton ini, lewati itu untuk 17 maret",1
tenda pesta didirikan pada malam pernikahan jessica simpson,1
3 aplikasi foto seluler gratis teratas untuk samsung galaxy s5,2
microsoft (msft) membela haknya untuk membaca email anda,2
akankah saham tesla (tsla) mendapat peningkatan dari kesepakatan pengisian baterai soho china?,2
ecb kemungkinan akan tetap bertahan namun kemungkinannya sangat kecil,0
counterpoint: 10 episode teratas 'himym',1
karreuche tran dan chris brown,1
"usda: penanaman jagung berkurang, namun areal terluas kelima masih ada",0
'thrones' menampilkan hidangan di akhir yang menakjubkan,1
dilihat @ makan malam artis festival film chanel tribeca,1
jennifer aniston - jennifer aniston ingin kawin lari,1
toyota mengungkap tampilan sedan fuel cell,2
"buku catatan gedung putih: obama bermain-main dengan robot, bertemu dengan penculik ...",2
sutradara ujian epik alkitabiah 'nuh',1
"miley cyrus, bibir menyala & bintang moby dalam film pendek wtf-tastic, terinspirasi lsd ...",1
chance the rapper menghadirkan justin bieber di coachella,1
shia labeouf mengaku tidak bersalah setelah penangkapan broadway,1
morgan stanley menggandakan keuntungannya,0
chiquita akan mengakuisisi fyffes menciptakan pemasok pisang terbesar (4),0
menjadwal ulang miley cyrus,1
saya terus-menerus melupakan baris fifty shades of grey: rita ora,1
amazon appstore berkembang menjadi 240.000 aplikasi sebelum peluncuran ponsel cerdas,2
penjualan rumah yang ada di as rebound pada bulan april namun di bawah estimasi,0
gugatan quentin tarantino terhadap gawker ditolak oleh hakim federal,1
panas dan dingin: darah dinosaurus tidak dapat mengambil keputusan,2
"vma 2014: kerusakan lemari pakaian nicki minaj tidak bisa dihindari, kata salah satu orang dalam",1
saham barclays anjlok karena bank inggris menghadapi tuntutan penipuan as,0
aliran album: coldplay - 'kisah hantu',1
penulis 'game of thrones': adegan kontroversial cersei 'dimaksudkan untuk mengganggu',1
"game skylanders baru diumumkan untuk wii u, wii dan 3ds",2
pharrell williams akan bergabung dengan acara nbc 'the voice' 0,1
refleksi paskah di tanah perjanjian,1
refleksi tentang kebangkitan,1
samsung gear fit hanya $99 di amazon saat ini,2
slashdot: heartbleed memicu debat pengungkapan yang 'bertanggung jawab',2
peretas ebay mengakses 145 juta catatan tetapi paypal tidak terekspos,2
pioneer debutkan speaker dan penerima elite berkemampuan atmos,2
kelly osbourne membuat tato di kepala,1
"jolie, day-lewis menerima penghargaan tertinggi dari queen",1
fiat chrysler memperkenalkan rencana lima tahun yang agresif,0
idris elba menyambut putranya dengan pacar naiyana garth — lihat yang pertama yang menggemaskan ...,1
nasihat grafis bill clinton kepada tim geithner selama krisis keuangan,0
"apple, comcast dalam pembicaraan untuk kesepakatan streaming tv: laporkan",2
video: ebay meminta pengguna untuk mengubah kata sandi setelah pelanggaran,2
penyebab kematian ultimate warrior terungkap: hall of famer wwe jim hellwig meninggal karena ...,1
tidak dalam hidup kita? pikirkan lagi,2
"humphries: tentang 'cosmos', pemanasan global dan teori big bang",2
"wilayah metro augusta memperoleh pekerjaan profesional, kehilangan pekerjaan perhotelan pada bulan mei",0
"harga gas di wilayah los angeles naik 3,1 sen dalam seminggu menjadi rata-rata $4,16",0
rick ross menyalip 'girl' pharrell williams dengan album 'mastermind' di ...,1
cbs sekarang diliput oleh jpmorgan chase & co.(cbs),0
saksikan kontestan 'wheel of fortune' mengejutkan pat sajak dengan tebakannya yang menang,1
"selingkuh, kecanduan seks, dan banyak lagi… video dramatis tori dan dean",1
"""king's candy crush menuju penilaian ipo $7,6 miliar"".",0
peringatan spoiler: kisah dibalik berakhirnya the amazing spider-man 2,1
dukungan folder windows phone 8.1 mungkin segera hadir,2
gedung putih mengatakan pendaftaran obamacare mencapai 6 juta seiring dengan semakin dekatnya batas waktu,0
video hebat: dermaga runtuh di pesta pernikahan minnesota,1
"ikan, karang bisa mencium bau dan menjauhi terumbu yang rusak, studi",2
hadirkan pesta chris brown di bet awards after party (video),1
review sony xperia z2: smartphone android tahan air yang melampaui ...,2
harga minyak bergerak lebih tinggi karena pemberontakan irak,0
lachlan dan james murdoch berpromosi di news corp dan 21st century fox,0
risiko peristiwa farmasi menghantam investor,0
gerhana pada selasa pagi kemungkinan besar tertutup awan,2
"tinder berencana verifikasi akun selebriti karena para bintang juga butuh cinta, sial",1
judul project morpheus dan oculus rift akan diumumkan di e3,2
otopsi l'wren scott mengungkap penyebab kematiannya,1
fbi: malware menginfeksi setengah juta komputer,2
"motorola moto g menambahkan dukungan 4g, melonjak menjadi £149",2
king digital entertainment plc diberi peringkat konsensus “beli” oleh broker ...,0
justin bieber meningkatkan perseteruan dengan seth rogen,1
bos media jerman mengatakan dia takut dengan dominasi google | republik,2
"pembaruan samsung: tablet samsung baru 8.4 inci segera hadir, note 4 tahan air ...",2
yahoo untung saat alibaba bersiap mengatakan 'open sesame' ke pasar,0
