No,News Title,Category,News Title Indonesia
18451,Microsoft reveals new enterprise s...,Technology,Microsoft mengungkapkan perusahaan baru...
27155,BlackBerry wins court order to halt Typo case sales,Technology,BlackBerry memenangkan perintah pengadilan untuk menghentikan penjualan kasus Typo
50865,"On net neutrality, the FCC's chairman increasingly stands alone",Technology,"Dalam hal netralitas bersih, ketua FCC semakin berdiri sendiri"
45435,Facebook teams up with Storyful to create social network generated newswire,Technology,Facebook bekerja sama dengan Storyful untuk membuat jaringan berita yang dihasilkan jaringan sosial
18725,Alice of the 'Brady Bunch' actress Ann B. Davis dies in Texas,Entertainment,Alice dari aktris 'Brady Bunch' Ann B. Davis meninggal di Texas
31707,Labor complaint filed against Market Basket,Economy,Keluhan buruh diajukan terhadap Market Basket
17006,Japan factory output fall underscores uneven recovery,Economy,Penurunan output pabrik Jepang menggarisbawahi pemulihan yang tidak merata
63847,"Billboard Awards Recap: Holograms, Cheerleaders And Lorde, Oh Miley  ...",Entertainment,"Rekap Penghargaan Billboard: Hologram, Pemandu Sorak, dan Lorde, Oh Miley ..."
36072,"Gwyneth Paltrow, Chris Martin Split -- From Her Hints at Their Troubled Marriage  ...",Entertainment,"Gwyneth Paltrow, Chris Martin Split -- Dari Petunjuknya tentang Pernikahan Mereka yang Bermasalah ..."
47181,Pimco flagship fund is still bleeding billions,Economy,Dana andalan Pimco masih mengeluarkan miliaran
51450,Twitter adds 'mute' feature to block users,Technology,Twitter menambahkan fitur 'bisu' untuk memblokir pengguna
30904,TV news networks ignore 'death of net neutrality',Technology,Jaringan berita TV mengabaikan 'matinya netralitas internet'
56039,Drake Cancels His Performance at Wireless Festival,Entertainment,Drake Membatalkan Penampilannya di Wireless Festival
30342,Document details Apple's concern over growing Android competition,Technology,Dokumen merinci kekhawatiran Apple terhadap meningkatnya persaingan Android
39353,Why was a General Motors recall delayed close to 10 years?,Technology,Mengapa penarikan kembali General Motors tertunda hampir 10 tahun?
3968,"Mad Men takes off for final season with ""Time Zones""",Entertainment,"Mad Men berangkat untuk musim terakhir dengan ""Time Zones"""
52828,"US STOCKS SNAPSHOT-Biotech pummeled again, extending Wall St slide",Economy,"SNAPSHOT SAHAM AS-Bioteknologi kembali terpukul, memperpanjang kemerosotan Wall St"
31375,Blake Shelton Blasts Britney Spears During ACM Monologue -- Watch Video!,Entertainment,Blake Shelton Meledakkan Britney Spears Selama Monolog ACM -- Tonton Video!
32189,'Transformers' Shows Worldwide Appeal as China Tops US,Entertainment,"""Transformers"" Tunjukkan Daya Tarik di Seluruh Dunia Saat Tiongkok Mengungguli AS""."
