No,News Title,Category,News Title Indonesia
516,Nest Protect gets a recall and a software update,Technology,Nest Protect mendapat penarikan kembali dan pembaruan perangkat lunak
57294,PS4 vs. Xbox One: 6 Months Later,Technology,PS4 vs. Xbox One: 6 Bulan Kemudian
46254,Church Roundup,Entertainment,Pertemuan Gereja
50315,"Facebook: We have ""no plans"" to redesign Oculus Rift",Technology,"Facebook: Kami ""tidak punya rencana"" untuk mendesain ulang Oculus Rift"
14875,"Coup in Thailand spurs cancellations of new bookings, as tourists in the country  ...",Entertainment,"Kudeta di Thailand memicu pembatalan pemesanan baru, karena turis di negara tersebut ..."
60548,L'Wren Scott death: Mick Jagger's family comfort grieving star while Rolling  ...,Entertainment,Kematian L'Wren Scott: Bintang Duka Penghibur Keluarga Mick Jagger Saat Rolling ...
9540,"For $3000, A 'Social Media Wedding Concierge' Will Live Tweet Your Wedding  ...",Entertainment,"Sebesar $3000, 'Petugas Pernikahan Media Sosial' Akan Men-tweet Pernikahan Anda Secara Langsung ..."
22119,Ford recalls 750000 Escapes and C-Max vehicles,Technology,Ford menarik kembali 750.000 kendaraan Escapes dan C-Max
42735,Will Ferrell takes on Red Hot Chili Peppers' Chad Smith in epic drum-off on 'The  ...,Entertainment,Will Ferrell menghadapi Chad Smith dari Red Hot Chili Peppers dalam drum-off epik di 'The ...
61110,Judge Joe Brown Arrested For Courtroom Antics,Entertainment,Hakim Joe Brown Ditangkap Karena Kelakuan Sidang
59347,Highest 4th of July Gas Prices Since 2008,Economy,Harga Gas Tertinggi pada 4 Juli Sejak 2008
10536,Broadcasters' copyright challenge to streaming TV could have big impact on how  ...,Entertainment,Tantangan hak cipta yang diajukan lembaga penyiaran terhadap streaming TV dapat berdampak besar pada ...
11212,China March New Home Price Increases Ease on Tighter Credit (2),Economy,Harga Rumah Baru China di Bulan Maret Meningkatkan Kelonggaran karena Ketatnya Kredit (2)
60307,Microsoft CEO Satya Nadella Says Company Not Selling Search to Yahoo,Technology,CEO Microsoft Satya Nadella Mengatakan Perusahaan Tidak Menjual Pencarian ke Yahoo
62656,Can BlackBerry be iconic again? CEO John Chen isn't sure,Technology,Bisakah BlackBerry kembali menjadi ikon? CEO John Chen tidak yakin
42993,White House's New Methane Plan Targets Greenhouse Gas,Economy,Rencana Metana Baru Gedung Putih Menargetkan Gas Rumah Kaca
23736,Kanye West Booed At London's Wireless Festival,Entertainment,Kanye West Dicemooh di Festival Nirkabel London
61726,Priceline Taps OpenTable To Battle Yelp For Locals,Economy,Priceline Memanfaatkan OpenTable Untuk Melawan Yelp Untuk Penduduk Lokal
7323,Google Glass on sale next week,Technology,Google Glass akan dijual minggu depan
21722,Coach struggles in handbag battle as sales fall,Economy,Pelatih kesulitan dalam pertarungan tas tangan saat penjualan menurun
63410,Johnny Depp confirms engagement,Entertainment,Johnny Depp mengonfirmasi pertunangannya
63731,Orange is second-most pirated TV show in the world,Entertainment,Orange adalah acara TV yang paling banyak dibajak kedua di dunia
680,Cannes 2014: Foxcatcher Review,Entertainment,Cannes 2014: Ulasan Foxcatcher
58692,When Rumors Override Expert Opinions,Economy,Ketika Rumor Mengalahkan Pendapat Para Ahli
20015,"Apple, Comcast In Talks For Streaming TV Deal: Report",Technology,"Apple, Comcast Dalam Pembicaraan Untuk Kesepakatan Streaming TV: Laporkan"
24547,All Wheel Drive BMW X7 To Go Into Production In 2016 As Top Of The Line Model,Economy,BMW X7 Penggerak Semua Roda Akan Mulai Diproduksi Pada Tahun 2016 Sebagai Model Teratas
28385,Craig Ferguson is leaving CBS's 'The Late Late Show',Entertainment,Craig Ferguson meninggalkan 'The Late Late Show' CBS
14059,"Netanyahu Condemns Kansas Shootings, Vows to 'Fight Pestilence'",Entertainment,"Netanyahu Mengutuk Penembakan di Kansas, Bersumpah untuk 'Memerangi Wabah'"
4770,Rihanna stirs up controversy with '#FreePalestine' tweet,Entertainment,Rihanna menimbulkan kontroversi dengan tweet '#FreePalestine'
65060,Home building declined 6.5 percent in May,Economy,"Pembangunan rumah turun 6,5 persen di bulan Mei"
30841,EasyJet on target for another good year,Economy,EasyJet mencapai target untuk tahun yang baik lagi
43512,WWE share price plummets in Friday trading,Economy,Harga saham WWE anjlok pada perdagangan Jumat
28477,Hartnett jumps from film to TV for 'Penny Dreadful',Entertainment,Hartnett beralih dari film ke TV untuk 'Penny Dreadful'
44415,Ban Bossy Campaign Seeks To Empower Girls To Lead,Entertainment,Kampanye Larangan Bossy Berusaha Memberdayakan Anak Perempuan Untuk Memimpin
38464,Transformers: Age of Extinction enjoys mammoth worldwide debut,Entertainment,Transformers: Age of Extinction menikmati debut besar-besaran di seluruh dunia
53271,Jay Leno joins celebrities shunning Brunei-owned hotels,Entertainment,Jay Leno bergabung dengan selebriti yang menghindari hotel milik Brunei
39464,CBS Outdoor Looks to Purchase Small Rivals Post-IPO,Economy,CBS Outdoor Ingin Membeli Saingan Kecil Pasca IPO
813,American Idol: C.J. Harris ignites a comeback for Idol contestants,Entertainment,American Idol: C.J. Harris memicu kembalinya kontestan Idol
